id,predinctK,pct_65,pct_18_29,pct_male,pct_black,pct_american_indian,pct_hispanic,pct_asian,pct_bach,pct_smoking,median_income,population_density,pct_yes,pct_65_Z_SCORE,pct_18_29_Z_SCORE,pct_male_Z_SCORE,pct_black_Z_SCORE,pct_american_indian_Z_SCORE,pct_hispanic_Z_SCORE,pct_asian_Z_SCORE,pct_bach_Z_SCORE,pct_smoking_Z_SCORE,median_income_Z_SCORE,population_density_Z_SCORE,pct_yes_Z_SCORE,Shape_Length,Shape_Area,longitude,latitude
1,ALA1,0.250189965245421,0.142708641155150,0.505882691548003,0.169908729814216,0.000000022239007,0.049991682677370,0.005542123155941,0.188079019273802,0.167331292599178,56750.798889878293267,17.075777456098166,0.556370302474794,0.165453806762126,0.095855953527851,0.345848769903602,0.141668496316597,-0.212721756879908,-0.884134582089256,-0.693895854773591,-0.481034961196266,0.602975713729673,-0.728355115765552,-0.845840102383119,-0.077980643805619,0.687953134672805,0.014507822592151,-82.182194221064179,29.789416953839318
2,ALA10,0.317230176823924,0.075083765892859,0.492578389255565,0.147022990715996,0.000000581640693,0.032839337148462,0.015268313889806,0.318303157613813,0.157950428742418,67499.438771714834729,10.059391351702084,0.616191904047976,0.659703631328683,-0.831048155575032,0.017129102118596,0.012111832435018,-0.212622887908627,-0.959580262842975,-0.366943122726053,0.508718165957637,0.385413748636474,-0.373222779175353,-0.850803265030369,0.493937086843601,0.587662008885985,0.013776422479459,-82.316297197332176,29.523346588744577
3,ALA11,0.156106596879149,0.095722560893751,0.502242689238060,0.099039250205925,0.001143191840530,0.107587432528912,0.067934487788366,0.344083925217677,0.123046600516672,103469.730318227491807,59.294854282454097,0.605304212168487,-0.528170023097210,-0.548161365483962,0.255912422716030,-0.259525160120217,-0.010677312991658,-0.630796019806503,1.403467299379783,0.704661834171666,-0.424079446661999,0.815226533963330,-0.815975704673497,0.389846526444481,0.702780316686475,0.015053346301273,-82.495375925402243,29.530739424891383
4,ALA12,0.278322308766808,0.161223936180919,0.344486079112610,0.222460371673686,0.000002422016510,0.131591276433267,0.025596567621255,0.363964165941888,0.144020354310928,39588.827108771205531,652.044280422691941,0.799136069114471,0.372857774063297,0.349636873257059,-3.641901933231321,0.439164477180161,-0.212297618842643,-0.525213588469757,-0.019751620196771,0.855759247264049,0.062346021241039,-1.295382312333816,-0.396684096824992,2.242954314213372,0.067203796168585,0.000282997817977,-82.329417749306188,29.681318645542056
5,ALA13,0.141378588607991,0.145407151123750,0.399873630245869,0.886563515129565,0.001372026769970,0.015115356423036,0.001140744765789,0.092044417246145,0.243835481461845,29675.293828394482262,486.246232849306182,0.779136690647482,-0.636751355596595,0.132843230305053,-2.273398947674624,4.198666731844360,0.029767102254659,-1.037540317299778,-0.841851280367331,-1.210934570312362,2.377268776817762,-1.622922938536592,-0.513964227145592,2.051752493358700,0.194345649555033,0.000916668231986,-82.288953277230561,29.660908029173171
6,ALA14,0.236913272245541,0.096994841330970,0.491140171731974,0.231895551353329,0.000000104599869,0.060408495532615,0.000002410666166,0.153682811121507,0.196703234982686,48770.618847090867348,17.717077078329524,0.548630783758262,0.067572206577571,-0.530722783000580,-0.018406048554143,0.492577233358655,-0.212707200374486,-0.838315569416992,-0.880117180557726,-0.742459264055416,1.284172840256077,-0.992018241161966,-0.845386467950322,-0.151973446811082,0.411732312710692,0.009313354516916,-82.100509683501755,29.707087110502979
7,ALA15,0.242503384958004,0.165518084992550,0.525075455566559,0.090051134569707,0.008824144879915,0.036211984569127,0.018514437551587,0.196829931179336,0.175276495234360,62159.950817864148121,7.222484176927987,0.537803138373752,0.108784967730731,0.408494862468310,0.820059207503330,-0.310407077082249,1.346858684560387,-0.944745459045120,-0.257822396141097,-0.414524692559768,0.787241675241125,-0.549638107448703,-0.852810000622461,-0.255489939411306,0.778801500697583,0.015724199558504,-82.197135407034139,29.602308072761147
8,ALA16,0.183117623293122,0.108409269612362,0.483147166624217,0.093648916825887,0.000901922917979,0.101436547207738,0.125125592593630,0.410169141469681,0.103000877020517,107511.744043159196735,376.873094985650994,0.594911937377691,-0.329032897003324,-0.374270287730964,-0.215895396426177,-0.290039953937019,-0.053319319234076,-0.657851079390739,3.325986451691992,1.206934686792005,-0.888981939879147,0.948773642662202,-0.591331216986318,0.290492345708210,0.236035917504655,0.001177173648976,-82.466148327678567,29.677153253018119
9,ALA17,0.187955424311028,0.178568910206393,0.471040545417014,0.129843242878000,0.000606803101046,0.103321415520509,0.049396397528583,0.404683969384451,0.106294687802659,91127.478381572000217,1141.196690380585324,0.692571428571429,-0.293366507412830,0.587376723188577,-0.515023033017279,-0.085143091544720,-0.105478963099022,-0.649560366453057,0.780296376330146,1.165245286550713,-0.812591539448000,0.407441659110825,-0.050673638763928,1.224154987815052,0.105187475512355,0.000284548689365,-82.362269993690376,29.682955272865527
10,ALA18,0.165130892729316,0.155555924195263,0.537834121268848,0.000987417669359,0.002166195756885,0.128095203351418,0.166525762938784,0.424676536447040,0.106029944724194,106652.632862275815569,906.591529658471472,0.653628857018688,-0.461638958594840,0.271947952137846,1.135297410818994,-0.814598704234025,0.170128979530646,-0.540591287874209,4.717682252438621,1.317196422663179,-0.818731488313609,0.920388827056513,-0.216625676354698,0.851848888306125,0.083134611807920,0.000325966194177,-82.431437198267901,29.603731789597450
